CIK,CompanyName,FiscalYearEnd,COVID-19,SupplyChain,Furlough,Benefit Cut,InternationalSupplyChain,ComboParagraph
0000001750,AAR CORP,"May 31, 2020",1,1,1,0,0,1
0000001800,Abbott Laboratories,"December 31, 2020",1,1,0,0,1,1
0000002098,ACME UNITED CORP,"December 31, 2020",1,1,0,0,1,1
0000002178,"ADAMS RESOURCES & ENERGY, INC.","December 31, 2020",1,1,0,0,1,1
0000002186,NONE,NONE,1,1,0,0,1,1
0000002488,"ADVANCED MICRO DEVICES, INC.","December 26, 2020",1,1,0,0,0,1
0000002969,"AIR PRODUCTS AND CHEMICALS, INC.",9/30/2020,1,0,0,0,0,1
0000003197,CECO ENVIRONMENTAL CORP.,"December 31, 2020",1,1,1,0,1,1
0000003453,"Matson, Inc.","December 31, 2020",1,1,0,0,1,1
0000003499,ALEXANDERS INC,"December 31, 2020",1,0,0,0,0,1
0000003570,"CHENIERE ENERGY, INC.","December 31, 2020",1,0,0,0,0,1
0000004127,"Skyworks Solutions, Inc.","October 2, 2020",1,1,0,0,1,1
0000004281,HOWMET AEROSPACE INC.,"December 31, 2020",1,1,0,0,1,1
0000004447,Hess Corporation,"December 31, 2020",1,1,0,0,0,1
0000004457,AMERCO,"March 31, 2020",1,1,0,0,0,1
0000004904,AMERICAN ELECTRIC POWER CO INC.,"December 31, 2020",1,1,0,0,0,1
0000004962,American Express Co,"December 31, 2020",1,1,0,0,0,1
0000005513,Unum Group,"December 31, 2020",1,0,0,0,0,1
0000005981,AMERICAN VANGUARD CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000006176,NONE,NONE,1,1,1,0,1,1
0000006201,American Airlines Group Inc.,"December 31, 2020",1,0,1,0,0,1
0000006207,NONE,NONE,1,0,0,0,0,1
0000006281,"Analog Devices, Inc.","October 31, 2020",1,1,0,0,1,1
0000006845,"APOGEE ENTERPRISES, INC.","February 29, 2020",1,1,1,0,1,1
0000006951,APPLIED MATERIALS INC /DE,"October 25, 2020",1,1,0,0,1,1
0000006955,ENERPAC TOOL GROUP CORP.,"August 31, 2020",1,1,1,0,1,1
0000007084,ARCHER-DANIELS-MIDLAND CO,"December 31, 2020",1,1,0,0,1,1
0000007332,Southwestern Energy Company,"December 31, 2020",1,1,0,0,1,1
0000007431,"ARMSTRONG WORLD INDUSTRIES, INC.","December 31, 2020",1,1,0,0,0,1
0000007536,ARROW ELECTRONICS INC,"December 31, 2020",1,1,0,0,1,1
0000007623,NONE,NONE,1,1,0,0,0,1
0000007789,ASSOCIATED BANC-CORP,12/31/20,1,0,0,0,0,1
0000008063,Astronics Corporation,"December 31, 2020",1,1,0,0,0,1
0000008146,NONE,NONE,1,1,0,0,1,1
0000008177,NONE,NONE,0,0,0,0,0,0
0000008504,NONE,NONE,1,1,0,0,0,1
0000008670,"AUTOMATIC DATA PROCESSING, INC.","June 30, 2020",1,0,0,0,0,1
0000008818,AVERY DENNISON CORPORATION,"January 2, 2021",0,0,0,0,0,0
0000008858,AVNET INC,"June 27, 2020",1,1,0,0,1,1
0000008868,"AVON PRODUCTS, INC.","December 31, 2020",1,1,0,0,1,1
0000009092,"BADGER METER, INC.","December 31, 2020",1,0,1,0,0,1
0000009326,Balchem Corporation,"December 31, 2020",1,1,0,0,1,1
0000009389,Ball Corp,"December 31, 2020",1,1,0,0,0,1
0000009631,NONE,NONE,0,0,0,0,0,0
0000009984,BARNES GROUP INC.,"December 31, 2020",1,1,1,0,1,1
0000010048,"BARNWELL INDUSTRIES, INC.","September 30, 2020",1,0,0,0,0,1
0000010254,"EARTHSTONE ENERGY, INC.","December 31, 2020",1,1,0,0,1,1
0000010329,BASSETT FURNITURE INDUSTRIES INC,"November 28, 2020",1,1,0,0,1,1
0000010456,Baxter International Inc.,"December 31, 2020",1,1,0,0,1,1
0000010795,"BECTON, DICKINSON AND COMPANY","September 30, 2020",1,1,0,0,1,1
0000011544,W. R. BERKLEY CORP,"December 31, 2020",1,0,0,0,0,1
0000012040,NONE,NONE,1,1,0,0,0,1
0000012208,"BIO-RAD LABORATORIES, INC.","December 31, 2020",1,1,0,0,1,1
0000012239,NONE,NONE,1,0,0,0,0,1
0000012659,"H&R Block, Inc.","April 30, 2020",1,0,0,0,0,1
0000012927,BOEING CO,"December 31, 2020",1,1,0,0,1,1
0000013573,NONE,NONE,1,0,1,0,0,1
0000014177,NONE,NONE,1,1,0,0,1,1
0000014272,BRISTOL MYERS SQUIBB CO,"December 31, 2020",1,1,1,0,1,1
0000014693,BROWN-FORMAN CORPORATION,2020-04-30,1,1,0,0,1,1
0000014707,CALERES INC,"January 30, 2021",1,1,1,0,1,1
0000014846,BRT APARTMENTS CORP.,"December 31, 2020",1,0,1,0,0,0
0000014930,Brunswick Corporation,"December 31, 2020",1,1,0,0,1,1
0000015615,"MasTec, Inc.","December 31, 2020",1,1,0,0,1,1
0000016040,Cabot Corporation,"September 30, 2020",1,1,0,0,1,1
0000016058,CACI International Inc,"June 30, 2020",1,1,0,0,0,1
0000016099,"Luby's, Inc.","August 26, 2020",1,1,1,0,0,1
0000016160,"CAL-MAINE FOODS, INC.","May 30, 2020",1,1,0,0,1,1
0000016732,CAMPBELL SOUP COMPANY,"August 2, 2020",1,1,0,0,0,1
0000016875,CANADIAN PACIFIC RAILWAY LTD/CN,"December 31, 2020",1,1,1,0,1,1
0000016918,"CONSTELLATION BRANDS, INC.","February 29, 2020",1,1,0,0,1,1
0000017313,NONE,NONE,1,1,0,0,1,1
0000017843,CARPENTER TECHNOLOGY CORPORATION,"June 30, 2020",1,1,0,0,1,1
0000018230,CATERPILLAR INC,"December 31, 2020",1,1,0,0,1,1
0000018255,The Cato Corporation,"January 30, 2021",0,0,0,0,0,0
0000018349,SYNOVUS FINANCIAL CORP,"December 31, 2020",1,0,0,0,0,1
0000018498,Genesco Inc,"January 30, 2021",1,1,1,0,1,1
0000018926,"Lumen Technologies, Inc.","December 31, 2020",1,1,0,0,1,1
0000019411,"MAGELLAN HEALTH, INC.","December 31, 2020",1,0,0,0,0,1
0000019584,CHEMED CORPORATION,December 31,1,0,0,0,0,0
0000019612,TCF Financial Corporation,"December 31, 2020",1,1,0,0,1,1
0000019617,JPMorgan Chase & Co,"December 31, 2020",1,1,0,0,1,1
0000019745,CHESAPEAKE UTILITIES CORP,12/31/2020,1,1,0,0,1,1
0000019871,NONE,NONE,1,1,0,0,1,1
0000020212,Churchill Downs Inc,"December 31, 2020",1,1,1,0,1,1
0000020286,Cincinnati Financial Corporation,"December 31, 2020",1,0,0,0,0,1
0000020520,FRONTIER COMMUNICATIONS CORPORATION,"December 31, ",1,1,1,0,0,1
0000021076,THE CLOROX COMPANY,"June 30, 2020",1,1,1,0,1,1
0000021175,CNA FINANCIAL CORPORATION,"December 31, 2020",1,0,0,0,0,1
0000021344,COCA COLA CO,"December 31, 2020",1,1,0,0,1,1
0000021510,"COHERENT, INC.","October 3, 2020",1,1,1,0,1,1
0000021535,COHU INC,"December 26, 2020",1,1,0,0,1,1
0000021665,COLGATE-PALMOLIVE COMPANY,"December 31, 2020",1,1,0,0,1,1
0000022356,"COMMERCE BANCSHARES, INC.","December 31, 2020",1,0,0,0,0,1
0000022444,Commercial Metals Company,"August 31, 2020",1,1,0,0,1,1
0000022701,NONE,NONE,1,1,0,0,0,1
0000023111,"COMPUTER TASK GROUP, INCORPORATED","December 31, 2020",1,1,1,0,1,1
0000023194,"COMSTOCK RESOURCES, INC.","December 31, 2020",1,1,0,0,1,1
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,7/31/2020,1,1,0,0,1,1
0000023217,"CONAGRA BRANDS, INC.","May 31, 2020",1,1,0,0,1,1
0000023795,"CTO REALTY GROWTH, INC.","December 31, 2020",1,0,0,0,0,1
