CIK,FiscalYearEnd,COVID-19,SupplyChain,Furlough,Benefit Cut,InternationalSupplyChain,ComboParagraph,FFI49,FFI30,FFI12
1750,31-May-20,23,10,7,10,0,59,42,26,9
1800,31-Dec-20,25,3,0,16,4,74,12,8,10
2098,"December 31, 2020",22,6,0,9,3,47,17,11,3
2178,31-Dec-20,15,1,0,2,1,29,42,26,9
2186,NONE,27,3,0,17,1,59,37,23,6
2488,"December 26, 2020",12,8,0,15,0,50,37,23,6
2969,9/30/2020,27,0,0,23,0,110,14,9,5
3197,"December 31, 2020",38,4,3,12,3,141,21,13,3
3453,"December 31, 2020",10,5,0,9,4,65,41,25,12
3499,31-Dec-20,24,0,0,11,0,27,48,29,11
3570,31-Dec-20,22,0,0,7,0,81,30,19,4
4127,"October 2, 2020",16,5,0,8,2,90,37,23,6
4281,31-Dec-20,37,8,0,49,1,131,24,16,3
4447,31-Dec-20,28,1,0,19,0,96,30,19,4
4457,31-Mar-20,23,2,0,10,0,12,33,22,12
4904,31-Dec-20,38,4,0,57,0,12,31,20,8
4962,31-Dec-20,37,1,0,20,0,197,45,29,11
5513,31-Dec-20,45,0,0,11,0,51,46,29,11
5981,"December 31, 2020",9,4,0,7,3,93,14,9,5
6176,NONE,24,3,9,14,3,76,20,13,3
6201,"December 31, 2020",113,0,11,64,0,303,41,25,12
6207,NONE,7,0,0,7,0,6,47,29,11
6281,31-Oct-20,24,4,0,6,1,116,37,23,6
6845,29-Feb-20,22,2,1,3,1,57,17,11,3
6951,25-Oct-20,38,17,0,7,7,154,21,13,3
6955,"August 31, 2020",27,7,5,22,3,104,21,13,3
7084,"December 31, 2020",3,5,0,10,5,152,2,1,1
7332,31-Dec-20,15,2,0,45,1,27,31,20,8
7431,31-Dec-20,23,1,0,15,0,28,17,11,3
7536,"December 31, 2020",16,8,0,14,5,210,42,26,9
7623,NONE,13,3,0,3,0,6,21,13,3
7789,12/31/2020,51,0,0,12,0,49,45,29,11
8063,"December 31, 2020",54,1,0,21,0,123,22,14,2
8146,NONE,74,3,0,10,2,50,35,23,6
8177,NONE,0,0,0,0,0,0,46,29,11
8504,NONE,3,2,0,1,0,10,24,16,3
8670,"June 30, 2020",30,0,0,9,0,69,34,22,6
8818,2-Jan-21,0,0,0,0,0,0,39,24,3
8858,27-Jun-20,22,8,0,10,5,73,42,26,9
8868,31-Dec-20,48,22,0,13,4,198,9,6,5
9092,"December 31, 2020",12,0,1,6,0,60,38,23,6
9326,"December 31, 2020",7,2,0,8,1,33,13,8,10
9389,31-Dec-20,11,5,0,22,0,65,40,24,3
9631,NONE,0,0,0,0,0,0,45,29,11
9984,31-Dec-20,35,6,8,40,4,190,17,11,3
10048,"September 30, 2020",31,0,0,13,0,33,30,19,4
10254,31-Dec-20,14,1,0,16,1,45,30,19,4
10329,28-Nov-20,24,7,0,14,1,29,9,6,2
10456,31-Dec-20,29,9,0,12,5,160,13,8,10
10795,30-Sep-20,39,8,0,12,3,148,12,8,10
11544,"December 31, 2020",46,0,0,10,0,123,46,29,11
12040,NONE,45,10,0,7,0,17,44,28,9
12208,31-Dec-20,29,4,0,7,2,137,38,23,6
12239,NONE,13,0,0,1,0,6,48,29,11
12659,30-Apr-20,45,0,0,8,0,55,33,22,9
12927,"December 31, 2020",83,27,0,45,6,135,24,16,3
13573,NONE,9,0,4,1,0,6,7,4,12
14177,NONE,17,4,0,4,2,12,2,1,1
14272,"December 31, 2020",22,4,1,18,3,133,13,8,10
14693,4/30/2020,58,10,0,13,1,121,4,2,1
14707,30-Jan-21,48,5,1,21,1,129,10,7,1
14846,31-Dec-20,14,0,1,8,0,0,48,29,11
14930,31-Dec-20,19,7,0,21,3,118,21,13,3
15615,"December 31, 2020",45,4,0,28,2,67,18,11,12
16040,30-Sep-20,20,2,0,17,1,69,14,9,5
16058,30-Jun-20,10,1,0,5,0,55,36,23,6
16099,26-Aug-20,30,1,3,13,0,12,44,28,9
16160,30-May-20,15,5,0,4,2,21,1,1,1
16732,2-Aug-20,40,20,0,10,0,65,2,1,1
16875,31-Dec-20,19,5,1,14,2,61,41,25,12
16918,29-Feb-20,20,4,0,12,2,90,4,2,1
17313,NONE,20,1,0,8,1,37,49,30,11
17843,30-Jun-20,29,9,0,19,5,127,19,12,3
18230,31-Dec-20,14,8,0,24,4,145,21,13,3
18255,30-Jan-21,0,0,0,0,0,0,43,27,9
18349,31-Dec-20,52,0,0,12,0,18,45,29,11
18498,"January 30, 2021",60,6,3,18,2,39,43,27,9
18926,31-Dec-20,20,5,0,13,2,159,32,21,7
19411,31-Dec-20,4,0,0,17,0,9,34,22,12
19584,31-Dec,28,0,0,21,0,0,11,8,10
19612,"December 31, 2020",36,2,0,13,1,15,45,29,11
19617,31-Dec-20,131,2,0,49,1,173,45,29,11
19745,12/31/2020,39,4,0,9,1,13,31,20,8
19871,NONE,10,3,0,3,1,17,17,11,3
20212,31-Dec-20,29,1,8,13,1,85,7,4,12
20286,31-Dec-20,26,0,0,12,0,70,46,29,11
20520,"December 31, ",25,3,1,30,0,15,32,21,7
21076,30-Jun-20,35,10,1,7,2,87,9,6,5
21175,31-Dec-20,19,0,0,16,0,48,46,29,11
21344,"December 31, 2020",41,17,0,12,5,157,3,1,1
21510,"October 3, 2020",60,14,2,13,3,159,38,23,6
21535,26-Dec-20,29,5,0,21,4,122,38,23,6
21665,31-Dec-20,39,14,0,13,13,187,9,6,5
22356,"December 31, 2020",22,0,0,7,0,41,45,29,11
22444,31-Aug-20,14,2,0,5,2,70,19,12,3
22701,NONE,8,2,0,4,0,23,37,23,6
23111,"December 31, 2020",13,1,1,10,1,50,36,22,6
23194,"December 31, 2020",2,1,0,7,1,16,30,19,4
23197,7/31/2020,44,7,0,12,2,192,37,23,6
23217,"May 31, 2020",29,21,0,13,3,41,2,1,1
23795,"December 31, 2020",22,0,0,12,0,29,48,29,11
24090,"December 31, 2020",37,0,0,5,0,98,46,29,11
24491,31-Dec-20,32,5,1,16,3,118,23,15,3
24545,31-Dec-20,0,20,2,27,6,164,4,2,1
24741,December 31,8,6,0,22,5,146,37,23,6
25232,31-Dec-20,13,0,0,6,0,7,48,29,11
25445,31-Dec-20,24,3,0,15,1,87,17,11,3
25475,"December 31, 2020",30,1,1,39,0,162,46,29,11
25895,NONE,19,5,3,6,0,12,16,10,1
26058,"December 31, 2020",13,3,0,10,2,80,37,23,6
26172,12/31/2020,50,16,0,24,6,198,21,13,3
26324,31-Dec-20,26,3,0,13,1,127,24,16,3
26780,31-Dec-20,39,6,0,22,6,204,23,15,2
27419,30-Jan-21,25,14,0,9,0,21,43,27,9
27904,"December 31, 2020",117,0,9,30,0,260,41,25,12
27996,31-Dec-20,64,4,6,39,1,54,8,5,1
28412,31-Dec-20,28,4,0,14,3,79,45,29,11
28823,31-Dec-20,19,11,0,13,4,191,35,23,6
29002,"December 31, 2020",11,2,0,17,1,142,37,23,6
